n	x	y	z
514	54.500000	24.843750	-3374.296548
515	54.500000	25.781250	-3246.968247
516	54.500000	26.718750	-3084.198884
517	54.500000	27.656250	-2883.530741
518	54.500000	28.593750	-2645.366898
519	54.500000	29.531250	-2373.258425
520	54.500000	30.468750	-2074.649840
521	54.500000	31.406250	-1762.512960
522	54.500000	32.343750	-1457.799221
523	54.500000	33.281250	-1191.652881
524	54.500000	34.218750	-1004.138520
525	54.500000	35.156250	-933.165931
526	54.500000	36.093750	-984.336079
527	54.500000	37.031250	-1010.602165
528	54.843750	37.500000	1244.010629
529	55.531250	37.500000	1116.077531
530	56.218750	37.500000	1095.144878
531	56.906250	37.500000	1088.915305
532	57.593750	37.500000	1079.869421
533	58.281250	37.500000	1068.529116
534	58.968750	37.500000	1073.450214
535	59.656250	37.500000	1187.945286
536	60.000000	37.031250	3452.435615
537	60.000000	36.093750	3727.202550
538	60.000000	35.156250	4115.149751
539	60.000000	34.218750	4506.433039
540	60.000000	33.281250	4891.591379
541	60.000000	32.343750	5267.060528
542	60.000000	31.406250	5629.564349
543	60.000000	30.468750	5976.003333
544	60.000000	29.531250	6303.659207
545	60.000000	28.593750	6610.348723
546	60.000000	27.656250	6894.374380
547	60.000000	26.718750	7154.156509
548	60.000000	25.781250	7387.462552
549	60.000000	24.843750	7590.235486
550	60.000000	23.906250	7755.296843
551	60.000000	22.968750	7871.891454
552	60.000000	22.031250	7928.474529
553	60.000000	21.093750	7935.869833
554	60.000000	20.156250	7944.711688
555	60.000000	19.218750	7748.741475
556	60.000000	18.281250	7625.860022
557	60.000000	17.343750	7518.543057
558	60.000000	16.406250	7415.694029
559	60.000000	15.468750	7305.482978
560	60.000000	14.531250	7176.108468
561	60.000000	13.593750	7019.284597
562	60.000000	12.656250	6830.592809
563	60.000000	11.718750	6608.669644
564	60.000000	10.781250	6354.455926
565	60.000000	9.843750	6070.937439
566	60.000000	8.906250	5763.445037
567	60.000000	7.968750	5440.390327
568	60.000000	7.031250	5113.957938
569	60.000000	6.093750	4799.505408
570	60.000000	5.156250	4511.892219
571	60.000000	4.218750	4268.598692
572	60.000000	3.281250	4180.686389
573	60.000000	2.343750	4006.568295
574	60.000000	1.406250	3731.260606
575	60.000000	0.468750	3418.443932
576	60.281250	0.000000	415.452890
577	60.843750	0.000000	320.583519
578	61.406250	0.000000	230.662738
579	61.968750	0.000000	138.791858
580	62.531250	0.000000	31.793047
581	63.093750	0.000000	-105.544812
582	63.656250	0.000000	-285.310890
583	64.218750	0.000000	-509.783233
584	64.500000	0.468750	-2818.389637
585	64.500000	1.406250	-3245.159313
586	64.500000	2.343750	-3728.589911
587	64.500000	3.281250	-4115.767135
588	64.500000	4.218750	-4358.314957
589	64.500000	5.156250	-4847.714187
590	64.500000	6.093750	-5309.776288
591	64.500000	7.031250	-5712.303084
592	64.500000	7.968750	-6060.874119
593	64.500000	8.906250	-6366.073806
594	64.500000	9.843750	-6637.208954
595	64.500000	10.781250	-6880.541241
596	64.500000	11.718750	-7099.237799
597	64.500000	12.656250	-7293.705427
598	64.500000	13.593750	-7461.775300
599	64.500000	14.531250	-7598.591703
600	64.500000	15.468750	-7696.291098
601	64.500000	16.406250	-7743.922677
602	64.500000	17.343750	-7728.831559
603	64.500000	18.281250	-7642.069215
604	64.500000	19.218750	-7504.043171
605	64.500000	20.156250	-7527.760130
606	64.500000	21.093750	-7309.186909
607	64.500000	22.031250	-7085.304238
608	64.500000	22.968750	-6905.357756
609	64.500000	23.906250	-6751.079005
610	64.500000	24.843750	-6609.693022
611	64.500000	25.781250	-6468.330512
612	64.500000	26.718750	-6316.931751
613	64.500000	27.656250	-6148.660965
614	64.500000	28.593750	-5959.335071
615	64.500000	29.531250	-5746.717850
616	64.500000	30.468750	-5509.944291
617	64.500000	31.406250	-5249.113792
618	64.500000	32.343750	-4965.045996
619	64.500000	33.281250	-4659.203923
620	64.500000	34.218750	-4333.806393
621	64.500000	35.156250	-3992.324158
622	64.500000	36.093750	-3645.333065
623	64.500000	37.031250	-3404.924072
624	64.843750	37.500000	1092.126243
625	65.531250	37.500000	1178.499530
626	66.218750	37.500000	1148.300984
627	66.906250	37.500000	1094.672470
628	67.593750	37.500000	1036.035129
629	68.281250	37.500000	972.829790
630	68.968750	37.500000	887.520173
631	69.656250	37.500000	687.858803
632	70.000000	37.031250	921.741804
633	70.000000	36.093750	794.677749
634	70.000000	35.156250	609.743478
635	70.000000	34.218750	505.036312
636	70.000000	33.281250	482.090980
637	70.000000	32.343750	517.464685
638	70.000000	31.406250	584.976713
639	70.000000	30.468750	663.613874
640	70.000000	29.531250	738.789287
641	70.000000	28.593750	801.099277
642	70.000000	27.656250	844.657615
643	70.000000	26.718750	865.652944
644	70.000000	25.781250	861.142451
645	70.000000	24.843750	827.842332
646	70.000000	23.906250	760.544852
647	70.000000	22.968750	649.925240
648	70.000000	22.031250	480.620016
649	70.000000	21.093750	221.765262
650	70.000000	20.156250	-94.412653
651	70.000000	19.218750	-236.047156
652	70.000000	18.281250	-592.049236
653	70.000000	17.343750	-926.045007
654	70.000000	16.406250	-1201.333549
655	70.000000	15.468750	-1420.859526
656	70.000000	14.531250	-1597.079299
657	70.000000	13.593750	-1742.216994
658	70.000000	12.656250	-1864.767234
659	70.000000	11.718750	-1968.780635
660	70.000000	10.781250	-2053.698094
661	70.000000	9.843750	-2113.736714
662	70.000000	8.906250	-2136.521232
663	70.000000	7.968750	-2101.213527
664	70.000000	7.031250	-1977.526474
665	70.000000	6.093750	-1729.406153
666	70.000000	5.156250	-1330.342526
667	70.000000	4.218750	-813.742576
668	70.000000	3.281250	-491.861290
669	70.000000	2.343750	-37.818085
670	70.000000	1.406250	444.409424
671	70.000000	0.468750	781.802316
672	70.281250	0.000000	-246.928163
673	70.843750	0.000000	-0.406167
674	71.406250	0.000000	182.681462
675	71.968750	0.000000	297.168592
676	72.531250	0.000000	345.867266
677	73.093750	0.000000	334.075593
678	73.656250	0.000000	267.853240
679	74.218750	0.000000	155.856278
680	74.500000	0.468750	867.931466
681	74.500000	1.406250	879.935247
682	74.500000	2.343750	768.306788
683	74.500000	3.281250	626.017147
684	74.500000	4.218750	536.469458
685	74.500000	5.156250	373.897766
686	74.500000	6.093750	312.986954
687	74.500000	7.031250	363.140066
688	74.500000	7.968750	489.481984
689	74.500000	8.906250	651.225191
690	74.500000	9.843750	815.711848
691	74.500000	10.781250	961.168535
692	74.500000	11.718750	1074.977934
693	74.500000	12.656250	1151.337340
694	74.500000	13.593750	1189.724310
695	74.500000	14.531250	1194.427483
696	74.500000	15.468750	1174.831862
697	74.500000	16.406250	1145.430355
698	74.500000	17.343750	1123.244144
699	74.500000	18.281250	1119.285870
700	74.500000	19.218750	1117.931740
701	74.500000	20.156250	1016.845809
702	74.500000	21.093750	1030.902438
703	74.500000	22.031250	917.232828
704	74.500000	22.968750	734.062193
705	74.500000	23.906250	524.322558
706	74.500000	24.843750	308.631993
707	74.500000	25.781250	98.148816
708	74.500000	26.718750	-102.469113
709	74.500000	27.656250	-291.988217
710	74.500000	28.593750	-470.318455
711	74.500000	29.531250	-636.823927
712	74.500000	30.468750	-788.825593
713	74.500000	31.406250	-920.003260
714	74.500000	32.343750	-1018.659249
715	74.500000	33.281250	-1066.452072
716	74.500000	34.218750	-1039.655357
717	74.500000	35.156250	-917.073190
718	74.500000	36.093750	-702.292481
719	74.500000	37.031250	-535.280657
720	74.843750	37.500000	268.636135
721	75.531250	37.500000	369.623834
722	76.218750	37.500000	364.400868
723	76.906250	37.500000	346.336903
724	77.593750	37.500000	333.811498
725	78.281250	37.500000	326.941347
726	78.968750	37.500000	307.585035
727	79.656250	37.500000	182.624150
728	80.000000	37.031250	-2269.001459
729	80.000000	36.093750	-2468.626366
730	80.000000	35.156250	-2781.361746
731	80.000000	34.218750	-3096.190171
732	80.000000	33.281250	-3403.552221
733	80.000000	32.343750	-3700.852238
734	80.000000	31.406250	-3986.486612
735	80.000000	30.468750	-4259.185385
736	80.000000	29.531250	-4517.683454
737	80.000000	28.593750	-4760.516079
738	80.000000	27.656250	-4985.906129
739	80.000000	26.718750	-5191.730748
740	80.000000	25.781250	-5375.581424
741	80.000000	24.843750	-5534.951063
742	80.000000	23.906250	-5667.572202
743	80.000000	22.968750	-5771.901569
744	80.000000	22.031250	-5848.066362
