n	x	y	J	J0
403	44.500000	10.781250	7.829270	5.219514
404	44.500000	11.718750	8.126085	5.417390
405	44.500000	12.656250	8.442561	5.628374
406	44.500000	13.593750	8.777208	5.851472
407	44.500000	14.531250	9.120741	6.080494
408	44.500000	15.468750	9.453995	6.302663
409	44.500000	16.406250	9.745914	6.497276
410	44.500000	17.343750	9.956279	6.637519
411	44.500000	18.281250	10.051211	6.700807
412	44.500000	19.218750	10.054534	6.703023
413	44.500000	20.156250	10.234724	6.823149
414	44.500000	21.093750	9.927066	6.618044
415	44.500000	22.031250	9.884960	6.589973
416	44.500000	22.968750	9.984165	6.656110
417	44.500000	23.906250	10.134812	6.756542
418	44.500000	24.843750	10.289575	6.859717
419	44.500000	25.781250	10.413604	6.942403
420	44.500000	26.718750	10.486386	6.990924
421	44.500000	27.656250	10.498366	6.998910
422	44.500000	28.593750	10.446467	6.964311
423	44.500000	29.531250	10.330348	6.886899
424	44.500000	30.468750	10.149616	6.766411
425	44.500000	31.406250	9.901733	6.601155
426	44.500000	32.343750	9.580436	6.386957
427	44.500000	33.281250	9.175007	6.116672
428	44.500000	34.218750	8.671885	5.781257
429	44.500000	35.156250	8.062066	5.374711
430	44.500000	36.093750	7.371187	4.914125
431	44.500000	37.031250	6.955720	4.637147
432	44.843750	37.500000	-0.087387	-0.058258
433	45.531250	37.500000	-0.261721	-0.174481
434	46.218750	37.500000	-0.109010	-0.072673
435	46.906250	37.500000	0.089984	0.059989
436	47.593750	37.500000	0.279492	0.186328
437	48.281250	37.500000	0.458551	0.305701
438	48.968750	37.500000	0.680975	0.453983
439	49.656250	37.500000	1.225496	0.816997
440	50.000000	37.031250	0.831477	0.554318
441	50.000000	36.093750	1.508745	1.005830
442	50.000000	35.156250	2.398392	1.598928
443	50.000000	34.218750	3.100853	2.067235
444	50.000000	33.281250	3.600056	2.400037
445	50.000000	32.343750	3.941535	2.627690
446	50.000000	31.406250	4.177783	2.785189
447	50.000000	30.468750	4.349663	2.899776
448	50.000000	29.531250	4.482890	2.988593
449	50.000000	28.593750	4.590112	3.060075
450	50.000000	27.656250	4.673954	3.115969
451	50.000000	26.718750	4.729535	3.153023
452	50.000000	25.781250	4.746474	3.164316
453	50.000000	24.843750	4.711059	3.140706
454	50.000000	23.906250	4.609983	3.073322
455	50.000000	22.968750	4.437989	2.958659
456	50.000000	22.031250	4.211646	2.807764
457	50.000000	21.093750	4.026993	2.684662
458	50.000000	20.156250	4.070411	2.713607
459	50.000000	19.218750	3.684799	2.456533
460	50.000000	18.281250	3.610402	2.406934
461	50.000000	17.343750	3.599333	2.399556
462	50.000000	16.406250	3.604058	2.402705
463	50.000000	15.468750	3.618672	2.412448
464	50.000000	14.531250	3.646707	2.431138
465	50.000000	13.593750	3.691959	2.461306
466	50.000000	12.656250	3.755341	2.503561
467	50.000000	11.718750	3.834541	2.556361
468	50.000000	10.781250	3.923892	2.615928
469	50.000000	9.843750	4.013095	2.675397
470	50.000000	8.906250	4.084305	2.722870
471	50.000000	7.968750	4.107938	2.738625
472	50.000000	7.031250	4.039378	2.692919
473	50.000000	6.093750	3.822546	2.548364
474	50.000000	5.156250	3.411272	2.274181
475	50.000000	4.218750	2.844244	1.896163
476	50.000000	3.281250	2.574220	1.716146
477	50.000000	2.343750	2.093279	1.395519
478	50.000000	1.406250	1.540818	1.027212
479	50.000000	0.468750	1.163621	0.775747
480	50.281250	0.000000	-0.456537	-0.304358
481	50.843750	0.000000	-0.727466	-0.484978
482	51.406250	0.000000	-0.906644	-0.604429
483	51.968750	0.000000	-0.986088	-0.657392
484	52.531250	0.000000	-0.969706	-0.646471
485	53.093750	0.000000	-0.865078	-0.576719
486	53.656250	0.000000	-0.680900	-0.453933
487	54.218750	0.000000	-0.429759	-0.286506
488	54.500000	0.468750	-3.661626	-2.441084
489	54.500000	1.406250	-3.539341	-2.359561
490	54.500000	2.343750	-3.199048	-2.132698
491	54.500000	3.281250	-2.791008	-1.860672
492	54.500000	4.218750	-2.453867	-1.635911
493	54.500000	5.156250	-2.013474	-1.342316
494	54.500000	6.093750	-1.745413	-1.163608
495	54.500000	7.031250	-1.674942	-1.116628
496	54.500000	7.968750	-1.757868	-1.171912
497	54.500000	8.906250	-1.938280	-1.292187
498	54.500000	9.843750	-2.170396	-1.446931
499	54.500000	10.781250	-2.423642	-1.615762
500	54.500000	11.718750	-2.680844	-1.787229
501	54.500000	12.656250	-2.934996	-1.956664
502	54.500000	13.593750	-3.186542	-2.124361
503	54.500000	14.531250	-3.441361	-2.294241
504	54.500000	15.468750	-3.708967	-2.472645
505	54.500000	16.406250	-3.999702	-2.666468
506	54.500000	17.343750	-4.318769	-2.879179
507	54.500000	18.281250	-4.654976	-3.103318
508	54.500000	19.218750	-4.958646	-3.305764
509	54.500000	20.156250	-5.066339	-3.377559
510	54.500000	21.093750	-5.314359	-3.542906
511	54.500000	22.031250	-5.362619	-3.575079
512	54.500000	22.968750	-5.308914	-3.539276
513	54.500000	23.906250	-5.205972	-3.470648
514	54.500000	24.843750	-5.061445	-3.374297
515	54.500000	25.781250	-4.870452	-3.246968
516	54.500000	26.718750	-4.626298	-3.084199
517	54.500000	27.656250	-4.325296	-2.883531
518	54.500000	28.593750	-3.968050	-2.645367
519	54.500000	29.531250	-3.559888	-2.373258
520	54.500000	30.468750	-3.111975	-2.074650
521	54.500000	31.406250	-2.643769	-1.762513
522	54.500000	32.343750	-2.186699	-1.457799
523	54.500000	33.281250	-1.787479	-1.191653
524	54.500000	34.218750	-1.506208	-1.004139
525	54.500000	35.156250	-1.399749	-0.933166
526	54.500000	36.093750	-1.476504	-0.984336
527	54.500000	37.031250	-1.515903	-1.010602
528	54.843750	37.500000	1.866016	1.244011
529	55.531250	37.500000	1.674116	1.116078
530	56.218750	37.500000	1.642717	1.095145
531	56.906250	37.500000	1.633373	1.088915
532	57.593750	37.500000	1.619804	1.079869
