x 	y	class
145.375000	7.212500	o
145.375000	6.387500	o
145.375000	5.562500	o
145.375000	4.737500	o
145.375000	3.912500	o
146.125000	19.587500	o
146.125000	18.762500	o
146.125000	17.937500	o
146.125000	17.112500	o
146.125000	16.287500	o
146.125000	15.462500	o
146.125000	14.637500	o
146.125000	13.812500	o
146.125000	12.987500	o
146.125000	12.162500	o
146.125000	11.337500	o
146.125000	10.512500	o
146.125000	9.687500	o
146.125000	8.862500	o
146.125000	8.037500	o
146.125000	7.212500	o
146.125000	6.387500	o
146.125000	5.562500	o
146.125000	4.737500	o
146.125000	3.912500	o
146.875000	19.587500	o
146.875000	18.762500	o
146.875000	17.937500	o
146.875000	17.112500	o
146.875000	16.287500	o
146.875000	15.462500	o
146.875000	14.637500	o
146.875000	13.812500	o
146.875000	12.987500	o
146.875000	12.162500	o
146.875000	11.337500	o
146.875000	10.512500	o
146.875000	9.687500	o
146.875000	8.862500	o
146.875000	8.037500	o
146.875000	7.212500	o
146.875000	6.387500	o
146.875000	5.562500	o
146.875000	4.737500	o
146.875000	3.912500	o
147.625000	19.587500	o
147.625000	18.762500	o
147.625000	17.937500	o
147.625000	17.112500	o
147.625000	16.287500	o
147.625000	15.462500	o
147.625000	14.637500	o
147.625000	13.812500	o
147.625000	12.987500	o
147.625000	12.162500	o
147.625000	11.337500	o
147.625000	10.512500	o
147.625000	9.687500	o
147.625000	8.862500	o
147.625000	8.037500	o
147.625000	7.212500	o
147.625000	6.387500	o
147.625000	5.562500	o
147.625000	4.737500	o
147.625000	3.912500	o
148.375000	19.587500	o
148.375000	18.762500	o
148.375000	17.937500	o
148.375000	17.112500	o
148.375000	16.287500	o
148.375000	15.462500	o
148.375000	14.637500	o
148.375000	13.812500	o
148.375000	12.987500	o
148.375000	12.162500	o
148.375000	11.337500	o
148.375000	10.512500	o
148.375000	9.687500	o
148.375000	8.862500	o
148.375000	8.037500	o
148.375000	7.212500	o
148.375000	6.387500	o
148.375000	5.562500	o
148.375000	4.737500	o
148.375000	3.912500	o
149.125000	19.587500	o
149.125000	18.762500	o
149.125000	17.937500	o
149.125000	17.112500	o
149.125000	16.287500	o
149.125000	15.462500	o
149.125000	14.637500	o
149.125000	13.812500	o
149.125000	12.987500	o
149.125000	12.162500	o
149.125000	11.337500	o
149.125000	10.512500	o
149.125000	9.687500	o
149.125000	8.862500	o
149.125000	8.037500	o
149.125000	7.212500	o
149.125000	6.387500	o
149.125000	5.562500	o
149.125000	4.737500	o
149.125000	3.912500	o
165.375000	19.587500	x
165.375000	18.762500	x
165.375000	17.937500	x
